pipeline,query,rank,document_id,similarity,document_preview,top_contributing_terms,relevant,Vocabulary size,Average tokens/document,Matrix sparsity,OOV rate,Query OOV rate,Precision@5_x,Recall@5_x,MRR_x,Precision@5_y,Recall@5_y,MRR_y
Pipeline A,medical image classification,1,18971,0.3983321612647904,The new RTS Environmental Classification system (RTS GLT) is designed for parties who are commissioning construction projects and who want to build in an environmentally responsible manner. The environmental classification system was developed for Fi,classification:0.3983,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,medical image classification,2,19908,0.238504658439191,"Download League Of Legends Wallpapers in high-quality for your desktop and smart-phone in wide-screen and HD resolution. Right click on image, and select “Save Image as League Of Legends Wallpapers” to download image to your desktop, laptop. If you a",image:0.2385,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,medical image classification,3,12658,0.2281418690026712,"This guidance is for pharmacists who handle, use and sell/supply medical devices. What to do with medical device alerts. Why this guidance is important for you? What types of medical devices are sold in pharmacies? What factors do I need to consider ",medical:0.2281,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,medical image classification,4,190,0.2239518450315136,"This title is a comprehensive account of the key aspects of medical leadership. A highly accessible, text book-style resource, it explores how the medical profession has evolved in tandem with administrative and structural aspects of the NHS. Assumin",medical:0.2240,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,medical image classification,5,15682,0.2225127594302242,"- Group Image: Provided functionality of group's image, user can now view and change the group's image also. - Profile image: User can now set a profile image during sign up process. This is a great app! Love how it keeps history for limited time and",image:0.2225,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,transformer language model,1,27936,0.2848863199561383,"hi, I am having problems with transformer / circuit board om my Hobby 720 uml model 2003. In view of the problems, can I bypass the transformer/circuit board ??",transformer:0.2263; model:0.0586,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,transformer language model,2,25428,0.2714538181526545,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick a different language for your entire phone. Do thi",language:0.2715,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,transformer language model,3,701,0.218282214059872,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently working in the department. The Program in Teaching Fre",language:0.2183,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,transformer language model,4,4075,0.2168647220338226,"Looking for Spanish language instructor to improve my reading, writing and speaking skills. We require the tutor to travel to our location at Gwal Pahari. A certification or degree in Spanish Language is preferred. The Spanish language instructor sho",language:0.2169,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,transformer language model,5,13690,0.2050973189497739,Text in finnish language missing. Sorry for the inconvinience. See in english language.,language:0.2051,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,deep learning healthcare,1,11119,0.2772408510853788,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analysis using appropriate Big Data analytics offer new ,healthcare:0.2772,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,deep learning healthcare,2,11979,0.2749817004272504,"Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are working in healthcare organizations especially in hospitals or in clinics and who would like to broaden their knowledge, expand their expertise and deve",healthcare:0.2750,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
Pipeline A,deep learning healthcare,3,9252,0.2701498177212027,"SAN DIEGO AND WASHINGTON, D.C. – Sept. 5, 2018 – West Health, a family of nonpartisan, nonprofit organizations focused on healthcare research, policy and philanthropy, has appointed Cristina Boccuti, MA, MPP, formerly of the Kaiser Family Foundation,",healthcare:0.2701,0,263260,401.599375,0.9993085652017016,0.0243111015430769,0.0,0.6,0.9285714285714286,0.875,0.6,0.9285714285714286,0.875
